0 0 0
0 0 0
0 0 0
1 1 1
2 2 2
3 3 3
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
12 12 12
14 14 14
15 15 15
16 16 16
17 17 17
18 18 18
19 19 19
20 20 20
21 21 21
23 23 23
24 24 24
25 25 25
26 26 26
27 27 27
28 28 28
29 29 29
30 30 30
32 32 32
33 33 33
34 34 34
35 35 35
36 36 36
37 37 37
38 38 38
39 39 39
41 41 41
42 42 42
43 43 43
44 44 44
45 45 45
46 46 46
47 47 47
48 48 48
50 50 50
51 51 51
52 52 52
53 53 53
54 54 54
55 55 55
56 56 56
58 58 58
59 59 59
60 60 60
61 61 61
62 62 62
63 63 63
64 64 64
65 65 65
67 67 67
68 68 68
69 69 69
70 70 70
71 71 71
72 72 72
73 73 73
74 74 74
76 76 76
77 77 77
78 78 78
79 79 79
80 80 80
81 81 81
82 82 82
83 83 83
85 85 85
86 86 86
87 87 87
88 88 88
89 89 89
90 90 90
91 91 91
92 92 92
94 94 94
94 94 94
95 95 95
96 96 96
97 97 97
98 98 98
99 99 99
101 101 101
102 102 102
103 103 103
104 104 104
105 105 105
106 106 106
107 107 107
108 108 108
110 110 110
111 111 111
112 112 112
113 113 113
114 114 114
115 115 115
116 116 116
117 117 117
118 118 118
119 119 119
120 120 120
121 121 121
122 122 122
123 123 123
124 124 124
125 125 125
126 126 126
127 127 127
127 127 127
128 128 128
129 129 129
129 129 129
130 130 130
131 131 131
132 132 132
132 132 132
133 133 133
133 133 133
133 133 133
133 133 133
134 134 134
135 135 135
135 135 135
135 135 135
134 134 134
135 135 135
134 134 134
134 134 134
133 133 133
134 134 134
133 133 133
132 132 132
132 132 132
131 131 131
130 130 130
129 129 129
128 128 128
127 127 127
126 126 126
125 125 125
124 124 124
123 123 123
121 121 121
119 119 119
117 117 117
116 116 116
115 115 115
113 113 113
110 110 110
108 108 108
107 107 107
105 105 105
103 103 103
101 101 101
98 98 98
95 95 95
93 93 93
90 90 90
88 88 88
86 86 86
83 83 83
81 81 81
78 78 78
75 75 75
72 72 72
70 70 70
67 67 67
64 64 64
61 61 61
59 59 59
56 56 56
53 53 53
52 51 51
50 48 48
47 45 45
48 43 43
49 41 41
49 38 38
50 35 35
51 33 33
53 31 31
54 28 28
57 27 27
58 24 24
61 23 23
63 21 21
65 19 19
68 17 17
71 16 16
74 14 14
77 13 13
80 11 11
84 11 11
87 9 9
92 8 8
98 7 7
106 6 6
115 5 5
127 5 5
139 4 4
151 5 3
165 7 3
179 11 2
192 17 2
206 25 1
219 36 2
230 48 4
239 60 6
245 74 10
250 88 16
252 102 22
254 117 27
254 134 32
254 151 34
255 169 36
255 188 38
255 206 44
255 221 55
255 232 73
255 240 96
255 246 123
255 248 148
255 250 170
255 251 186
255 251 196
255 251 202
255 252 205
255 252 206
255 252 206
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
255 252 207
